v8-version,8,1,307,31,-node.33,0
code-creation,Builtin,3,1000,0x7ff75b164970,1648,RecordWrite
code-creation,Builtin,3,1000,0x7ff75b164ff0,428,EphemeronKeyBarrier
code-creation,Builtin,3,1000,0x7ff75b1651b0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1000,0x7ff75b1651f0,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1000,0x7ff75b165330,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1000,0x7ff75b165410,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1000,0x7ff75b165530,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1000,0x7ff75b165670,159,CallBoundFunction
code-creation,Builtin,3,1000,0x7ff75b165710,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1000,0x7ff75b165790,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1000,0x7ff75b165810,109,Call_ReceiverIsAny
code-creation,Builtin,3,1000,0x7ff75b165890,824,CallProxy
code-creation,Builtin,3,1000,0x7ff75b165bd0,75,CallVarargs
code-creation,Builtin,3,1000,0x7ff75b165c30,1028,CallWithSpread
code-creation,Builtin,3,1000,0x7ff75b166050,946,CallWithArrayLike
code-creation,Builtin,3,1000,0x7ff75b166410,100,CallForwardVarargs
code-creation,Builtin,3,1000,0x7ff75b166490,100,CallFunctionForwardVarargs
code-creation,Builtin,3,1000,0x7ff75b166510,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,1000,0x7ff75b1665b0,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,1000,0x7ff75b1666b0,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,1000,0x7ff75b166810,26,ConstructFunction
code-creation,Builtin,3,1000,0x7ff75b166830,159,ConstructBoundFunction
code-creation,Builtin,3,1000,0x7ff75b1668d0,28,ConstructedNonConstructable
code-creation,Builtin,3,1000,0x7ff75b1668f0,90,Construct
code-creation,Builtin,3,1000,0x7ff75b166950,75,ConstructVarargs
code-creation,Builtin,3,1000,0x7ff75b1669b0,1048,ConstructWithSpread
code-creation,Builtin,3,1000,0x7ff75b166dd0,1028,ConstructWithArrayLike
code-creation,Builtin,3,1000,0x7ff75b1671f0,139,ConstructForwardVarargs
code-creation,Builtin,3,1000,0x7ff75b167290,139,ConstructFunctionForwardVarargs
code-creation,Builtin,3,1000,0x7ff75b167330,325,JSConstructStubGeneric
code-creation,Builtin,3,1000,0x7ff75b167490,241,JSBuiltinsConstructStub
code-creation,Builtin,3,1000,0x7ff75b167590,735,FastNewObject
code-creation,Builtin,3,1000,0x7ff75b167870,305,FastNewClosure
code-creation,Builtin,3,1000,0x7ff75b1679b0,209,FastNewFunctionContextEval
code-creation,Builtin,3,1000,0x7ff75b167a90,209,FastNewFunctionContextFunction
code-creation,Builtin,3,1000,0x7ff75b167b70,246,CreateRegExpLiteral
code-creation,Builtin,3,1000,0x7ff75b167c70,566,CreateEmptyArrayLiteral
code-creation,Builtin,3,1000,0x7ff75b167eb0,1160,CreateShallowArrayLiteral
code-creation,Builtin,3,1000,0x7ff75b168350,1888,CreateShallowObjectLiteral
code-creation,Builtin,3,1000,0x7ff75b168ad0,812,ConstructProxy
code-creation,Builtin,3,1000,0x7ff75b168e10,356,JSEntry
code-creation,Builtin,3,1000,0x7ff75b168f90,356,JSConstructEntry
code-creation,Builtin,3,1000,0x7ff75b169110,356,JSRunMicrotasksEntry
code-creation,Builtin,3,1000,0x7ff75b169290,99,JSEntryTrampoline
code-creation,Builtin,3,2000,0x7ff75b169310,99,JSConstructEntryTrampoline
code-creation,Builtin,3,2000,0x7ff75b169390,309,ResumeGeneratorTrampoline
code-creation,Builtin,3,2000,0x7ff75b1694d0,1148,StringCodePointAt
